Bureau of Justice Statistics,,,,,,,,,,,
filename:  mpjit01.csv,,,,,,,,,,,
"Table 1. Estimated number and percent of jail inmates who reported a medical problem, by conviction status, gender and age, 2002",,,,,,,,,,,
report title: Medical Problems of Jail Inmates   NCJ 210696,,,,,,,,,,,
data source:  2002 Survey of Inmates in Local Jails,,,,,,,,,,,
author:  Laura M. Maruschak,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,
date of version: 10/18/06,,,,,,,,,,,


"Table 1. Estimated number and percent of jail inmates who reported a medical problem, by conviction status, gender and age, 2002",,,,,,,,,,,

,,,Current medical problem*,,,Had surgery since admission,,,Dental problem since admission,,
,,,Number,Percent,,Number,Percent,,Number,Percent,
,,All inmates,"229,300",36.9,%,"8,800",1.4,%,"159,000",25.6,%
Conviction status,,,,,,,,,,,
,Convicted,,"121,700",35.8,%,"5,500",1.6,%,"89,900",26.5,%
,Unconvicted,,"67,800",37.7,,"2,000",1.1,,"44,700",24.9,
,Both,,"38,700",39.2,,"1,400",1.4,,"23,600",23.9,
Gender,,,,,,,,,,,
,Male,,"191,500",34.8,%,"7,600",1.4,%,"138,400",25.2,%
,Female,,"37,800",52.6,,"1,200",1.7,,"20,600",28.7,
Age,,,,,,,,,,,
,24 or younger,,"46,600",25,%,"1,700",0.9,%,"44,200",23.7,%
,25-34,,"66,500",33.7,,"3,700",1.9,,"49,300",25,
,35-44,,"70,200",43.3,,"2,500",1.5,,"45,500",28.1,
,45 or older,,"46,000",60.5,,"1,000",1.3,,"20,000",26.4,
Note: Number of inmates with each problem was estimated and then rounded to the nearest 100. See Appendix tables for standard errors for the survey estimates.,,,,,,,,,,,
"*Inmates were determined to have a current medical problem if they reported currently having at least 1 of 14 specific problems: arthritis, asthma, cancer, diabetes, a heart condition, hypertension, kidney problems, liver problems, paralysis, problems due to a stroke, hepatitis, HIV, a sexually transmitted disease, or tuberculosis.",,,,,,,,,,,
