Bureau of Justice Statistics,,,,,,
filename:  mpjitt04.csv,,,,,,
"Text table 4. Number of impairments reported by jail inmates, by age",,,,,,
report title: Medical Problems of Jail Inmates   NCJ 210696,,,,,,
data source:  2002 Survey of Inmates in Local Jails,,,,,,
author:  Laura M. Maruschak,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,
date of version: 10/20/06,,,,,,

"Text table 4. Number of impairments reported by jail inmates, by age",,,,,,
,Percent of jail inmates by age,,,,,
Number of impairments,Total,,34 or younger,,35 or older,
0,63.4,%,64.8,%,61.1,%
1,21.2,,20.8,,21.9,
2,9.8,,9.2,,10.8,
3 or more ,5.6,,5.2,,6.2,
